[ 04/30/2015 17:03:00 ] - There is another script running 
[ 04/30/2015 17:03:05 ] - There is another script running 
[ 04/30/2015 17:04:19 ] - all check operations were done successfully 
[ 04/30/2015 17:04:52 ] - all check operations were done successfully 
[ 04/30/2015 17:07:39 ] - all check operations were done successfully 
[ 04/30/2015 17:07:43 ] - all check operations were done successfully 
[ 04/30/2015 17:08:10 ] - all check operations were done successfully 
[ 04/30/2015 17:09:14 ] - all check operations were done successfully 
[ 04/30/2015 17:10:06 ] - all check operations were done successfully 
[ 04/30/2015 17:21:14 ] - all check operations were done successfully 
[ 04/30/2015 17:21:51 ] - all check operations were done successfully 
[ 04/30/2015 17:41:38 ] - all check operations were done successfully 
[ 04/30/2015 19:01:57 ] - all check operations were done successfully 
[ 04/30/2015 19:02:18 ] - all check operations were done successfully 
[ 04/30/2015 19:02:21 ] - all check operations were done successfully 
[ 04/30/2015 20:07:55 ] - all check operations were done successfully 
[ 04/30/2015 21:25:29 ] - all check operations were done successfully 
[ 04/30/2015 21:25:34 ] - all check operations were done successfully 
[ 05/04/2015 13:26:13 ] - all check operations were done successfully 
[ 05/04/2015 13:26:24 ] - all check operations were done successfully 
